objective,prompt_style,session,model,scenario,summary_path,run_dir,total_shelf_deliveries,steps_executed,llm_calls,llm_failures,llm_missing_or_invalid_actions,elapsed_seconds,max_steps,seed
shelf,natural,session_20260317_183938,qwen2.5:14b,small_picker_heavy_2v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/small_picker_heavy_2v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/small_picker_heavy_2v4/language,1,368,139,0,0,3843.5694222450256,1000,0
shelf,natural,session_20260317_183938,qwen2.5:14b,small_agv_heavy_4v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/small_agv_heavy_4v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/small_agv_heavy_4v2/language,0,200,200,0,0,6340.137387514114,1000,0
shelf,natural,session_20260317_183938,qwen2.5:14b,small_balanced_2v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/small_balanced_2v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/small_balanced_2v2/language,2,366,202,0,0,5339.396744251251,1000,0
shelf,natural,session_20260317_183938,qwen2.5:14b,medium_agv_heavy_6v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/medium_agv_heavy_6v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/medium_agv_heavy_6v2/language,0,200,113,1,0,2980.2645103931427,1000,0
shelf,natural,session_20260317_183938,qwen2.5:14b,tiny_balanced_1v1,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/tiny_balanced_1v1/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/tiny_balanced_1v1/language,1,232,28,0,0,578.2112905979156,1000,0
shelf,natural,session_20260317_183938,qwen2.5:14b,medium_balanced_4v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/medium_balanced_4v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/qwen2.5_14b/medium_balanced_4v4/language,0,200,149,1,0,3904.9835052490234,1000,0
shelf,natural,session_20260317_183938,llama3.2:1b,small_picker_heavy_2v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/small_picker_heavy_2v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/small_picker_heavy_2v4/language,0,200,134,0,0,394.1146295070648,1000,0
shelf,natural,session_20260317_183938,llama3.2:1b,small_agv_heavy_4v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/small_agv_heavy_4v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/small_agv_heavy_4v2/language,0,200,136,0,0,398.97111988067627,1000,0
shelf,natural,session_20260317_183938,llama3.2:1b,small_balanced_2v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/small_balanced_2v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/small_balanced_2v2/language,0,200,140,0,0,386.43067264556885,1000,0
shelf,natural,session_20260317_183938,llama3.2:1b,medium_agv_heavy_6v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/medium_agv_heavy_6v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/medium_agv_heavy_6v2/language,0,200,172,0,0,363.4144697189331,1000,0
